Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Liquid )


Sahara Mutual Fund
101397;Sahara Liquid Fund-Fixed Pricing -  Weekly Dividend Option;;INF515L01064;1027.4373;;;02-Dec-2018
101393;Sahara Liquid Fund-Fixed Pricing - Daily Dividend Option;;INF515L01049;1254.3475;;;02-Dec-2018
120265;Sahara Liquid Fund-Fixed Pricing - Direct - Weekly Dividend Option;;INF515L01668;1027.4373;;;02-Dec-2018
120262;Sahara Liquid Fund-Fixed Pricing - Direct -Growth option;INF515L01650;;3024.287;;;02-Dec-2018
101394;Sahara Liquid Fund-Fixed Pricing - Growth option;INF515L01056;;3069.5478;;;02-Dec-2018
101398;Sahara Liquid Fund-Fixed Pricing - Monthly Dividend Option;;INF515L01072;1043.3721;;;02-Dec-2018
120253;Sahara Liquid Fund-Fixed Pricing -Direct - Daily Dividend Option- Direct;;INF515L01643;1254.3475;;;02-Dec-2018
120266;Sahara Liquid Fund-Fixed Pricing -Direct - Monthly Dividend Option;;INF515L01676;1043.3721;;;02-Dec-2018
101399;Sahara Liquid Fund-Variable Pricing - Daily Dividend option;;INF515L01080;1265.9863;;;02-Dec-2018
101402;Sahara Liquid Fund-Variable Pricing - Growth option;INF515L01114;;3139.9349;;;02-Dec-2018
101400;Sahara Liquid Fund-Variable Pricing - Weekly Dividend Option;;INF515L01098;1275.969;;;02-Dec-2018
120271;Sahara Liquid Fund-Variable Pricing -Direct - Daily Dividend option;;INF515L01684;1038.8267;;;02-Dec-2018
120280;Sahara Liquid Fund-Variable Pricing -Direct - Growth option;INF515L01718;;3146.3584;;;02-Dec-2018
120272;Sahara Liquid Fund-Variable Pricing -Direct - Weekly Dividend Option;;INF515L01692;1275.969;;;02-Dec-2018
120273;Sahara Liquid Fund-Variable Pricing- Direct - Monthly Dividend Option;;INF515L01700;1055.8972;;;02-Dec-2018
101401;Sahara Liquid Fund-Variable Pricing- Monthly Dividend Option;;INF515L01106;1289.4021;;;02-Dec-2018

Open Ended Schemes ( Debt Scheme - Overnight Fund )


Aditya Birla Sun Life Mutual Fund
145488;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Monthly Payout of IDCW;INF209KB1ZL4;;1000.2819;;;02-Dec-2018
145489;ADITYA BIRLA SUN LIFE OVERNIGHT FUND-  Direct - Weekly Reinvestment of IDCW;;INF209KB1ZJ8;1000.3562;;;02-Dec-2018
145487;ADITYA BIRLA SUN LIFE OVERNIGHT FUND- Direct - Daily Reinvestment of IDCW;;INF209KB1ZI0;1000.02;;;02-Dec-2018
