Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


ABN  AMRO Mutual Fund
102652;ABN AMRO  Monthly Income Plan-Regular Plan-Growth Option;;;12.6676;12.6676;12.6676;16-Jul-2008
102653;ABN AMRO  Monthly Income Plan-Regular Plan-Monthly Dividend Option;;;9.5217;9.5217;9.5217;16-Jul-2008
102654;ABN AMRO  Monthly Income Plan-Regular Plan-Quarterly Dividend Option;;;9.5681;9.5681;9.5681;16-Jul-2008
102645;ABN AMRO  Short Term Income Fund-Institutional Plan-Daily Dividend Option;;;10.0008;10.0008;10.0008;16-Jul-2008
102644;ABN AMRO  Short Term Income Fund-Institutional Plan-Growth Option;;;0.0000;0.0000;0.0000;16-Jul-2008
102646;ABN AMRO  Short Term Income Fund-Institutional Plan-Monthly Dividend Option;;;10.0493;10.0493;10.0493;16-Jul-2008
102647;ABN AMRO  Short Term Income Fund-Institutional Plan-Weekly Dividend Option;;;0.0000;0.0000;0.0000;16-Jul-2008
102649;ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Daily Dividend Option;;;10.0007;10.0007;10.0007;16-Jul-2008
102648;ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Growth Option;;;10.0927;10.0927;10.0927;16-Jul-2008
102650;ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Monthly Dividend Option;;;10.0548;10.0548;10.0548;16-Jul-2008
102651;ABN AMRO  Short Term Income Fund-Institutional Plus Plan-Weekly Dividend Option;;;0.0000;0.0000;0.0000;16-Jul-2008
102641;ABN AMRO  Short Term Income Fund-Regular Plan-Growth Option;;;12.5794;12.5794;12.5794;16-Jul-2008
102642;ABN AMRO  Short Term Income Fund-Regular Plan-Monthly Dividend Option;;;10.0492;10.0492;10.0492;16-Jul-2008
102643;ABN AMRO  Short Term Income Fund-Regular Plan-Weekly Dividend Option;;;10.0146;10.0146;10.0146;16-Jul-2008
107368;ABN AMRO Short Term Income Fund-Institutional Plan-Quarterly Dividend Option;;;0.0000;0.0000;0.0000;16-Jul-2008
107369;ABN AMRO Short Term Income Fund-Institutional Plus Plan-Quarterly Dividend Option;;;0.0000;0.0000;0.0000;16-Jul-2008
107367;ABN AMRO Short Term Income Fund-Regular Plan-Quarterly Dividend Option;;;10.0544;10.0544;10.0544;16-Jul-2008
102622;ABN AMRO Flexi Debt Fund-Regular Plan-Daily Dividend Option;;;10.0027;10.0027;10.0027;16-Jul-2008
102619;ABN AMRO Flexi Debt Fund-Regular Plan-Growth Option;;;12.8680;12.8680;12.8680;16-Jul-2008
102621;ABN AMRO Flexi Debt Fund-Regular Plan-Half-Yearly Dividend Option;;;10.2450;10.2450;10.2450;16-Jul-2008
102620;ABN AMRO Flexi Debt Fund-Regular Plan-Quarterly Dividend Option;;;10.0537;10.0537;10.0537;16-Jul-2008
102623;ABN AMRO Flexi Debt Fund-Regular Plan-Weekly Dividend Option;;;10.0196;10.0196;10.0196;16-Jul-2008
107107;ABN AMRO Flexible Short Term Plan - Series A - Regular Plan - Calendar Quarterly Dividend Option- Compulsory Redemption;;;0.0000;0.0000;0.0000;16-Jul-2008
107106;ABN AMRO Flexible Short Term Plan - Series A - Regular Plan - Calendar Quarterly Dividend Option- Compulsory Renewal;;;10.0526;9.9521;10.0526;16-Jul-2008
