Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Income )


Aditya Birla Sun Life Mutual Fund
120704;Aditya Birla Sun Life MIP - Direct Plan - Growth;INF209K01XB7;;31.8907;31.5718;31.8907;05-Jun-2013
119640;Aditya Birla Sun Life MIP - Direct Plan - Monthly Dividend;INF209K01R21;;12.1227;12.0015;12.1227;05-Jun-2013
100970;Aditya Birla Sun Life MIP - Regular Plan - Growth;INF209K01694;;31.8378;31.5194;31.8378;05-Jun-2013
100971;Aditya Birla Sun Life MIP - Regular Plan - Monthly Dividend;INF209K01702;;11.7046;11.5876;11.7046;05-Jun-2013
101713;Aditya Birla Sun Life MIP II - Saving 5 Plan - Growth - Regular Plan;INF209K01728;;21.8129;21.5948;21.8129;05-Jun-2013
120706;Aditya Birla Sun Life MIP II - Savings 5 Plan - Growth / Payment - Direct Plan;INF209K01XE1;;21.8490;21.6305;21.8490;05-Jun-2013
120549;Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Direct Plan;INF209K01R39;;12.1051;11.9840;12.1051;05-Jun-2013
101711;Aditya Birla Sun Life MIP II - Savings 5 Plan - Monthly Dividend - Regular Plan;INF209K01736;INF209K01DE3;11.9988;11.8788;11.9988;05-Jun-2013
103184;Aditya Birla Sun Life Monthly Income - Dividend - Regular Plan;INF209K01AX9;INF209K01DX3;11.5608;11.4452;11.5608;05-Jun-2013
120572;Aditya Birla Sun Life Monthly Income - Growth - Direct Plan;INF209K01YH2;;43.6158;43.1796;43.6158;05-Jun-2013
103185;Aditya Birla Sun Life Monthly Income - Growth - Regular Plan;INF209K01AZ4;;43.4563;43.0217;43.4563;05-Jun-2013
120574;Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Direct Plan;INF209K01S20;;12.1735;12.0518;12.1735;05-Jun-2013
103186;Aditya Birla Sun Life Monthly Income - Quarterly Dividend - Regular Plan;INF209K01AY7;INF209K01DY1;12.1455;12.0240;12.1455;05-Jun-2013
120573;Aditya Birla Sun Life Monthly Income- Dividend - Direct Plan;INF209KA1LG5;INF209K01YF6;11.5659;11.4502;11.5659;05-Jun-2013

Bandhan Mutual Fund
108784;BANDHAN Dynamic Bond Fund - Annual Dividend;INF194K01QE9;INF194K01QD1;15.8797;15.8797;15.8797;05-Jun-2013
108554;BANDHAN Dynamic Bond Fund - Quarterly Dividend;INF194K01QB5;INF194K01QA7;11.9609;11.9609;11.9609;05-Jun-2013
108625;IDFC - SSIF - ST -Plan B - Growth;INF194K01HM1;;13.6299;13.6299;13.6299;05-Jun-2013
108759;IDFC - SSIF - ST -Plan B - Monthly Dividend;INF194K01HO7;INF194K01HN9;10.2263;10.2263;10.2263;05-Jun-2013
112366;IDFC - SSIF - Short Term- Plan F Dividend;INF194K01IJ5;INF194K01II7;10.1301;10.1301;10.1301;05-Jun-2013
112367;IDFC - SSIF - Short Term- Plan F Growth;INF194K01IH9;;12.9438;12.9438;12.9438;05-Jun-2013
108786;IDFC Dynamic Bond Fund - Growth;INF194K01PZ6;;24.7041;24.7041;24.7041;05-Jun-2013
118381;IDFC Money Manager Fund - Investment Plan -Direct Plan-Daily Dividend;;INF194K01L81;10.0606;10.0606;10.0606;05-Jun-2013
