Scheme Code;Scheme Name;ISIN Div Payout/ISIN Growth;ISIN Div Reinvestment;Net Asset Value;Repurchase Price;Sale Price;Date

Open Ended Schemes ( Equity Scheme - Multi Cap Fund )


Axis Mutual Fund
149383;Axis Multicap Fund - Direct Growth;INF846K013E0;;18.58;;;31-Aug-2024
149384;Axis Multicap Fund - Direct Plan - IDCW;INF846K014E8;INF846K015E5;18.57;;;31-Aug-2024
149382;Axis Multicap Fund - Regular Plan - Growth;INF846K016E3;;17.89;;;31-Aug-2024
149387;Axis Multicap Fund - Regular Plan - IDCW;INF846K017E1;INF846K018E9;17.89;;;31-Aug-2024

Bandhan Mutual Fund
149303;BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN;INF194KB1CL0;;18.442;;;31-Aug-2024
149305;BANDHAN MULTI CAP FUND - GROWTH - REGULAR PLAN;INF194KB1CI6;;17.643;;;31-Aug-2024
149304;BANDHAN MULTI CAP FUND - IDCW - DIRECT PLAN;INF194KB1CM8;INF194KB1CN6;18.428;;;31-Aug-2024
149302;BANDHAN MULTI CAP FUND - IDCW - REGULAR PLAN;INF194KB1CJ4;INF194KB1CK2;17.644;;;31-Aug-2024

SBI Mutual Fund
149887;SBI Multicap Fund- Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW);INF200KA19E0;INF200KA10F6;16.9645;;;31-Aug-2024
149882;SBI Multicap Fund- Direct Plan- Growth option;INF200KA18E2;;16.9645;;;31-Aug-2024
149886;SBI Multicap Fund- Regular Plan- Growth Option;INF200KA15E8;;16.5590;;;31-Aug-2024
149883;SBI Multicap Fund- Regular Plan- Income Distribution cum Capital Withdrawal Option (IDCW);INF200KA16E6;INF200KA17E4;16.5609;;;31-Aug-2024

Open Ended Schemes ( Equity Scheme - Large Cap Fund )


Axis Mutual Fund
120465;Axis Large Cap Fund - Direct Plan - Growth;INF846K01DP8;;69.99;;;31-Aug-2024
120466;Axis Large Cap Fund - Direct Plan - IDCW;INF846K01DN3;INF846K01DO1;28.81;;;31-Aug-2024
112277;Axis Large Cap Fund - Regular Plan - Growth;INF846K01164;;61.32;;;31-Aug-2024
112278;Axis Large Cap Fund - Regular Plan - IDCW;INF846K01172;INF846K01180;20.41;;;31-Aug-2024

Bandhan Mutual Fund
108799;BANDHAN Large Cap Fund - Regular Plan - Growth;INF194K01516;;77.833;;;31-Aug-2024
108800;BANDHAN Large Cap Fund - Regular Plan - IDCW;INF194K01490;INF194K01508;24.580;;;31-Aug-2024
118479;BANDHAN Large Cap Fund-Direct Plan-Growth;INF194K01Z44;;88.499;;;31-Aug-2024
